Clinic,Address,City,State,Zip,Treatment center,Detection center,Earliest facility asset created date,Earliest provider asset created date,Earliest any public asset created date,Cross-check assessment,Facility asset count,Provider photo asset count,Date source,Phone,Website,Providers
20/20 Optometry of Silicon Valley,"2555 North 1st Street, San Jose, CA 95131",San Jose,CA,95131,No,Yes,2026-05-05,,2026-05-05,Facility asset only,1,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+14085604870,https://2020eyesonline.com,
20/20 Vision Center,"116 Regency Boulevard, Greenville, NC 27834",Greenville,NC,27834,No,Yes,2026-05-18,2026-05-18,2026-05-18,Strong: facility/provider asset dates within 7 days,3,1,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+12526594784,www.2020visionnc.com,"Samantha Myers OD, FAAO"
4Sight iCare,"11914 Route 59, Unit 106, Plainfield, IL 60585",Plainfield,IL,60585,No,Yes,2026-05-20,2026-05-20,2026-05-20,Strong: facility/provider asset dates within 7 days,3,1,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+18154568927,https://www.4sighticare.com,Mark Burke
Abundo Eye Care,"579 East Fort Union Boulevard, Midvale, UT 84047",Midvale,UT,84047,No,Yes,2026-04-27,,2026-04-27,Facility asset only,1,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+18019198652,https://www.abundoeyecare.net/,Roland Abundo
Accent Vision,"1645 Galisteo Street, Santa Fe, NM 87505",Santa Fe,NM,87505,No,Yes,2026-04-20,,2026-04-20,Facility asset only,3,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+15055783171,https://www.accentvisionsantafe.com,Dwight Thibodeaux; Jaqueline Isquierdo
AccessorEyes Optometry,"155 Cordova Street, Pasadena, CA 91101",Pasadena,CA,91101,No,Yes,2026-05-06,,2026-05-06,Facility asset only,2,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+16267064224,www.accessoreyesoptometry.com,
Achord Eye Clinic,"8280 Ymca Plaza Drive, Baton Rouge, LA 70810",Baton Rouge,LA,70810,No,Yes,2026-05-22,,2026-05-22,Facility asset only,2,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+12256382434,visionsource-br.com,Shonda Achord
Alabama Ophthalmology Associates - Grandview,"3686 Grandview Parkway / Suite 100, Birmingham, AL 35243",Birmingham,AL,35243,Yes,No,2026-04-17,,2026-04-17,Facility asset only,2,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+12055437639,https://aoapc.com,Walter Parker; Kristen Bains
Alabama Ophthalmology Associates - Main Location,"1000 19th Street South, Birmingham, AL 35205",Birmingham,AL,35205,Yes,No,,,,No public asset date available,0,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+12058786754,https://www.aoapc.com/,Kristin Bains MD; Walter Parker
Alamo Eye Care,"North Loop 1604 East Access Road, San Antonio, TX 78247",San Antonio,TX,78247,No,Yes,2026-04-28,2026-04-28,2026-04-28,Strong: facility/provider asset dates within 7 days,3,2,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+12109342741,www.alamoeyecare.com,Melanie Frogozo OD; Anthony Mac
Aloha Laser Vision,"1100 Ward Ave / Suite 1000, Honolulu, HI 96814",Honolulu,HI,96814,Yes,Yes,2026-04-29,,2026-04-29,Facility asset only,3,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+18085156835,,
Alpine Optometry,"3130 Alpine Road #220, Portola Valley, CA 94028",Portola Valley,CA,94028,No,Yes,2026-05-29,,2026-05-29,Facility asset only,1,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+16506752412,www.alpineoptometry.com,
Anita Lam,"1101 Madison / Suite 600, Seattle, WA 98104",Seattle,WA,98104,No,Yes,2026-04-16,,2026-04-16,Facility asset only,2,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+12068007451,,
Aprima Eye Consultants,"5003 Crossings Circle
#100A, Mt. Juliet, TN 37122",Mt. Juliet,TN,37122,No,Yes,2026-06-30,2026-06-30,2026-06-30,Strong: facility/provider asset dates within 7 days,2,1,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+16156976815,https://aprimaeye.com/,Brad Altman
Ascent Eye Care,"7162 County Road 162, Nathrop, CO 81236",Nathrop,CO,81236,No,Yes,2026-06-24,2026-06-24,2026-06-24,Strong: facility/provider asset dates within 7 days,2,2,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+17195216072,https://www.ascenteyecareco.com/,Nick Chariton; Stefanie Melzer
Asheville Vsion and Wellness,"559 Long Shoals Road, Arden, NC 28704",Arden,NC,28704,No,Yes,2026-07-09,2026-07-09,2026-07-09,Strong: facility/provider asset dates within 7 days,1,2,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+18284155345,ashevillevisionandwellness.com,Lisa Greene; Sid Morse
Atlanta Eye Group,"4400 Ashford Dunwoody Road Suite 1280, Dunwoody, GA 30346",Dunwoody,GA,30346,No,Yes,2026-04-28,,2026-04-28,Facility asset only,1,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+17722915681,www.lenscrafters.com,Katie Harris
Atlanta Eye Group Cumberland,"2860 Cumberland Mall SE Suite 1440, Atlanta, GA 30339",Atlanta,GA,30339,No,Yes,2026-04-28,,2026-04-28,Facility asset only,1,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+17727731036,https://www.atlantaeyegroup.com/,Katie Harris
Atlanta Eye Group Tucker,"4832 Briarcliff Road Northeast, Atlanta, GA 30345",Atlanta,GA,30345,No,Yes,2026-04-28,,2026-04-28,Facility asset only,1,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+17723099771,atlantaeyegroup.com,Aditi Bellur; Ashka Patel; Cynthia Noorani; Aysha Siddique
Atlantic Eye Physicians,"300 S. Highway 35, Eatontown, NJ 07724",Eatontown,NJ,07724,Yes,No,2026-04-01,2026-04-02,2026-04-01,Strong: facility/provider asset dates within 7 days,1,1,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+17329634029,http://www.atlanticeyephysicians.com/services/corneal-transplant-surgery-and-dsek/,Ravi Patel MD
Atrium Health Wake Forest Baptist Eye Center - Davie,"329 NC Hwy 801 North, Bermuda Run, NC 27006",Bermuda Run,NC,27006,Yes,No,,,,No public asset date available,0,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+13363612641,http://www.wakehealth.edu/Eye-Center/Ophthalmology/Clinical-Specialties.htm,Matt Giegengack MD
Battleground Eye Care,"3132 Battleground Ave, Greensboro, NC 27408",Greensboro,NC,27408,No,Yes,2026-04-21,2026-04-21,2026-04-21,Strong: facility/provider asset dates within 7 days,2,1,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+13367535291,https://www.battlegroundeyecare.com,Jon Scott OD
Bay Area Eye Institute,"3242 Cove Bend Drive, Tampa, FL 33613",Tampa,FL,33613,Yes,Yes,2026-05-14,2026-05-14,2026-05-14,Strong: facility/provider asset dates within 7 days,4,1,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+17653751409,https://craigbergermd.com,Craig Berger MD
Beau Swann,"201 Londonderry Dr, Waco, TX 76712",Waco,TX,76712,Yes,No,2026-06-22,2026-06-22,2026-06-22,Strong: facility/provider asset dates within 7 days,1,1,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+12545035548,https://brazoseye.com/,Jordan Tanous Dr.
Bedford Family Eye Care,"1332A Lowry Street, Bedford, VA 24523",Bedford,VA,24523,No,Yes,2026-05-05,2026-05-05,2026-05-05,Strong: facility/provider asset dates within 7 days,3,1,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+15408893557,www.bedfordfamilyeye.com,Jared Quensenberry OD
Berg-Feinfield Vision Correction,"13320 Riverside DriveSte 114, Sherman Oaks, CA 91423",Sherman Oaks,CA,91423,Yes,Yes,2026-06-23,,2026-06-23,Facility asset only,1,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+12762089778,http://www.bergfeinfield.com/los-angeles/vision-correction.htm,
Beverly Hills Institute of Ophthalmology,"416 North Bedford Drive, Beverly Hills, CA 90210",Beverly Hills,CA,90210,Yes,No,2026-04-17,,2026-04-17,Facility asset only,2,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+16205319248,https://www.90210eyes.com,
Beyond Optometry,"3440 Del Lago Boulevard, Escondido, CA 92029",Escondido,CA,92029,No,Yes,2026-06-08,,2026-06-08,Facility asset only,3,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+17602806064,https://beyondoptometry.com,
BoozmanHof,"3737 West Walnut St, Rogers, AR 72756",Rogers,AR,72756,Yes,No,2026-06-24,,2026-06-24,Facility asset only,1,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+14794254017,https://boozmanhof.com/,
Boston Children's Hospital,"360 1st Avenue / Floor 3, Needham, MA 02494",Needham,MA,02494,Yes,No,2026-04-15,2026-04-22,2026-04-15,Strong: facility/provider asset dates within 7 days,1,3,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+19787218103,https://www.childrenshospital.org/locations/boston-childrens-needham,"Thomas Dohlman MD; Leyla Yavuz Saricay MD, MSc, FEBO; Jae You MD"
Boston Vision,"24 Webster Place, Brookline, MA 02445",Brookline,MA,02445,Yes,Yes,2026-05-04,2026-04-28,2026-04-28,Strong: facility/provider asset dates within 7 days,1,5,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+19385296202,https://www.bostonvision.com/services/cornea/corneal-cross-linking/,"James Gregoire MD, MS; Samir Melki MD, PHD, Founder; Jason Brenner MD; Vivian Yao OD; Deborah Lee OD"
Boston Vision,"101 Main Street
suite 208, Medford, MA 02155",Medford,MA,02155,No,Yes,2026-06-19,2026-06-19,2026-06-19,Strong: facility/provider asset dates within 7 days,3,1,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+12513018457,https://www.bostonvision.com/services/cornea/corneal-cross-linking/?dlmtrk_referrer=https%3A%2F%2Fwww.google.com%2F&dlmtrk_landing=https%3A%2F%2Fwww.bostonvision.com%2Fpatient-resources%2Fpatient-portal%2F&dlmtrk_source=google_organic,"Stivia Demiri OD, FAAO"
Boston Vision,"172 Cambridge Street, Burlington, MA 01803",Burlington,MA,01803,No,Yes,2026-06-15,2026-06-15,2026-06-15,Strong: facility/provider asset dates within 7 days,1,1,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+19452929264,https://www.bostonvision.com/services/cornea/corneal-cross-linking,Cora Vitale OD
Branham Family Eyecare,"1673 Branham Lane, San Jose, CA 95118",San Jose,CA,95118,No,Yes,2026-06-23,,2026-06-23,Facility asset only,2,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+18453160694,https://branhamfamilyeyecare.com/,
Bright Eyes Optical Mt. Vernon,"51 East Prospect Avenue, Mount Vernon, NY 10550",Mount Vernon,NY,10550,No,Yes,2026-06-29,2026-06-29,2026-06-29,Strong: facility/provider asset dates within 7 days,1,1,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+19148752138,https://brighteyesmv.com/,Sumati Deutscher
Broward EyeCare,"2502 East Oakland Park Boulevard, Fort Lauderdale, FL 33306",Fort Lauderdale,FL,33306,No,Yes,2026-04-28,2026-04-28,2026-04-28,Strong: facility/provider asset dates within 7 days,4,2,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+19549942386,browardeye.com,John Bascome; Alyssa Panagos
Byers Eye Institute at Stanford,"2452 Watson Court, Palo Alto, CA 94303",Palo Alto,CA,94303,Yes,No,2026-05-07,,2026-05-07,Facility asset only,1,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+16505358424,http://eyelaser.stanford.edu/procedures/other_procedures.html,
