Clinic,Address,City,State,Zip,Treatment center,Detection center,Currently live in latest run,First seen by monitor,Last seen by monitor,Phone,Website,Providers,Epioxa facility ID
Atlantic Eye Physicians,"1031 Farmington Avenue, Farmington, CT 06032",Farmington,CT,06032,No,Yes,Yes,2026-09-18T15:37:16+00:00,2026-09-18T15:37:16+00:00,+18602640732,atlanticeyect.com,,616b3cd4-74df-41de-ab09-2bee7da05c53
Commonwealth Eye Care Asssociates,"3855 Gaskins Rd., Henrico, VA 23233",Henrico,VA,23233,Yes,No,Yes,2026-09-18T15:37:16+00:00,2026-09-18T15:37:16+00:00,+18043311715,,Joseph Iuorno MD; Bryan Goldman MD,caf8c947-c310-40df-9789-1be643facd5d
Envision Eye Care,"2641 East Oakland Park Boulevard, Suite 3, Fort Lauderdale, FL 33306",Fort Lauderdale,FL,33306,No,Yes,Yes,2026-09-18T15:37:16+00:00,2026-09-18T15:37:16+00:00,+12313071653,,Cheryl Ebmeier; Pam Ebmeier,53d8320b-eef8-4e63-b221-271f4bb6b941
Gregory Nettune,"10740 N. Central Expressway / Ste 350, Dallas, TX 75231",Dallas,TX,75231,No,Yes,Yes,2026-09-18T15:37:16+00:00,2026-09-18T15:37:16+00:00,+12724660278,http://www.corneatexas.com/corneal-surgery,Bradley Bowman MD; Gregory Nettune MD; Luke Potts Dr.; Andrew Bowman; Jamie Alexander,b5beacb2-761b-4a06-a7fd-676d94d5925f
Idaho Eye and Laser Center,"1157 Call Place, Pocatello, ID 83201",Pocatello,ID,83201,No,Yes,Yes,2026-09-18T15:37:16+00:00,2026-09-18T15:37:16+00:00,+12089032019,https://idahoeyecenter.com/,,fafe1c71-6739-46b7-b09d-2c663dc9d026
Nassau County: Valley Stream OCLI,"70 East Sunrise Highway / Ste 400, Valley Stream, NY 11581",Valley Stream,NY,11581,No,Yes,Yes,2026-09-18T15:37:16+00:00,2026-09-18T15:37:16+00:00,+15167159273,,Lauren Sabol,9d574582-1fd4-40a1-bf6f-fbd24653c5d3
North Georgia Eye Associates/Cumming,"1230 Bald Ridge Marina Road, Cumming, GA 30040",Cumming,GA,30040,No,Yes,Yes,2026-09-18T15:37:16+00:00,2026-09-18T15:37:16+00:00,+14782219448,northgeorgiaeye.com,Jason Gabrels,bb9e641b-ad08-4759-972d-bf2eeeb30c4f
Refocus Waterbury,"87 Grandview Ave, Waterbury, CT 06708",Waterbury,CT,06708,Yes,No,Yes,2026-09-18T15:37:16+00:00,2026-09-18T15:37:16+00:00,+12765337309,,,b6eb87d8-2c4a-4c40-b421-0fd8f7578a04
Renaissance Eye Care,"1593 Darby Drive, Florence, AL 35630",Florence,AL,35630,No,Yes,Yes,2026-09-18T15:37:16+00:00,2026-09-18T15:37:16+00:00,+12569162466,www.renaissanceeyecare.com,Kathy Warner; Lisa Campbell; W. Hampton Moore,aef15922-7d7d-4548-b933-539f62957e7a
Richlin Eye,"8907 Wilshire Boulevard, Beverly Hills, CA 90211",Beverly Hills,CA,90211,No,Yes,Yes,2026-09-18T15:37:16+00:00,2026-09-18T15:37:16+00:00,+14065055267,www.richlineye.com,,e10f3dcf-1681-4050-8549-988faa4f8c94
Rocky McAdams,"2120 Antilley Road, Abilene, TX 79606",Abilene,TX,79606,Yes,Yes,Yes,2026-09-18T15:37:16+00:00,2026-09-18T15:37:16+00:00,+13252525597,,,ccb68d3d-f9a9-4792-9ccc-47429a4518d8
The Eye Institute,"2000 S Wheeling Ave / Suite 1010, Tulsa, OK 74104",Tulsa,OK,74104,No,Yes,Yes,2026-09-18T15:37:16+00:00,2026-09-18T15:37:16+00:00,+19183014501,,Mark Goldberg; Daniel Corbett,cd48f521-23c6-43f0-a4bc-1f465840af32
Total Vision West Hollywood,"8205 Santa Monica Boulevard, West Hollywood, CA 90046",West Hollywood,CA,90046,No,Yes,Yes,2026-09-18T15:37:16+00:00,2026-09-18T15:37:16+00:00,+18607468997,www.drmarkchung.com,,856ae962-24cd-454c-888c-6cd94dd274c5
