Clinic,Address,City,State,Zip,Treatment center,Detection center,Currently live in latest run,First seen by monitor,Last seen by monitor,Phone,Website,Providers,Epioxa facility ID
20/20 Eyecare,"9553 Fields Ertel Road, Loveland, OH 45140",Loveland,OH,45140,No,Yes,No,2026-08-08T12:34:16+00:00,2026-08-25T12:35:18+00:00,+15138486699,2020eyecareoh.com,Alex Gibberman; David Williams,f6ea1400-871b-480c-a63e-cf20614ab4ac
Advanced Vision Care,"2710 East Airline Road, Victoria, TX 77901",Victoria,TX,77901,No,Yes,Yes,2026-07-29T13:54:58+00:00,2026-08-29T16:02:50+00:00,+13615242353,https://avcvictoria.com/our-practice/,Valorie Baker OD,8656e976-a277-4c55-92cf-9b43c61637eb
Anderson & Chhabra Eyecare Center- Tampa,"719 West Fletcher Avenue, Tampa, FL 33612",Tampa,FL,33612,No,Yes,Yes,2026-07-22T01:05:31+00:00,2026-08-29T16:02:50+00:00,+18132804075,https://andersoneyecarecenter.com/,"Aundrea Pelakatiyage; Neeta Chhabra OD, MS, FAAO, FSLS; Richard Weisenberger; Julia Malone",34b00054-59d4-4339-96d7-bc526ee61596
Anderson & Chhabra EyeCare Center- Wesley Chapel,"3822 Turman Loop, Wesley Chapel, FL 33544",Wesley Chapel,FL,33544,No,Yes,Yes,2026-07-22T01:05:31+00:00,2026-08-29T16:02:50+00:00,+18137617753,https://andersoneyecarecenter.com/,"Neeta Chhabra OD, MS, FAAO, FSLS; Richard Weisenberger; Julia Malone; Aundrea Pelakatiyage",e2c336aa-dc9d-4a93-b5b7-2656ec3c3dae
Anh Nguyen Ophthalmology,"6402 Arlington Blvd / Suite 600, Falls Church, VA 22042",Falls Church,VA,22042,Yes,Yes,Yes,2026-08-14T12:51:38+00:00,2026-08-29T16:02:50+00:00,+17032238300,http://virginia-lasik.com/,,0aa96b67-1a7b-4d6d-a319-3947d55f7327
Appalachian Eye Care,"3082 Robert C Byrd Drive, Beckley, WV 25801",Beckley,WV,25801,No,Yes,Yes,2026-08-29T16:02:50+00:00,2026-08-29T16:02:50+00:00,+13049244230,,"Brad Lane OD, MBA, Med; Misty Lane OD; McKenzie Bright OD",fc4ed793-ebc7-4e00-9224-045e84c84ec4
Appalachian Eye Care,"324 Oakvale Road
Suite 100, Princeton, WV 24740",Princeton,WV,24740,No,Yes,Yes,2026-08-27T21:34:51+00:00,2026-08-29T16:02:50+00:00,+13043816203,,"Brad Lane OD, MBA, Med; Christopher Hansen OD; Misty Lane OD; Amanda Sarver OD; McKenzie Bright OD; Blake Hopkins OD",3d0eff50-72dc-4578-9d62-ae61d98b99b9
Artisan Eye,"6600 University Parkway, Sarasota, FL 34240",Sarasota,FL,34240,No,Yes,Yes,2026-07-18T21:18:20+00:00,2026-08-29T16:02:50+00:00,+19412745293,https://www.artisaneyelwr.com/,Cory Collier,5798d31a-112f-4b4a-b737-52eb8ec2172b
Augusta University,"1120 15th Street / Medical Center- Talmadage Bldg (BA), Augusta, GA 30912",Augusta,GA,30912,Yes,No,Yes,2026-08-01T13:05:04+00:00,2026-08-29T16:02:50+00:00,+17065234353,https://www.augusta.edu/mcg/ophthalmology/,Amy Estes MD,f2856736-0cb1-4dcf-85e8-5cd1a16fe50f
Austin Optometry Group,"1 City Boulevard West #111, Orange, CA 92868",Orange,CA,92868,No,Yes,Yes,2026-08-22T12:25:34+00:00,2026-08-29T16:02:50+00:00,+14053452384,https://www.austinoptometrygroup.com/,,100e7b42-5dbf-4b25-92f4-278f16a1c931
Azman Eye Care Specialists,"1427 Clarkview Road, Baltimore, MD 21209",Baltimore,MD,21209,No,Yes,Yes,2026-07-18T21:18:20+00:00,2026-08-29T16:02:50+00:00,+14433359705,https://azmaneye.com,,411f7720-6265-43b5-b505-6911a326eabf
Black Hills Regional Eye Institute,"2800 Third St, Rapid City, SD 57701",Rapid City,SD,57701,Yes,Yes,Yes,2026-07-24T13:24:06+00:00,2026-08-29T16:02:50+00:00,+16057025171,,,d937b227-2994-445c-aaf2-c188c5f0314f
