Clinic,Address,City,State,Zip,Treatment center,Detection center,Currently live in latest run,First seen by monitor,Last seen by monitor,Phone,Website,Providers,Epioxa facility ID
20/20 Eyecare,"9553 Fields Ertel Road, Loveland, OH 45140",Loveland,OH,45140,No,Yes,No,2026-08-08T12:34:16+00:00,2026-08-09T12:37:07+00:00,+15138486699,2020eyecareoh.com,Alex Gibberman; David Williams,f6ea1400-871b-480c-a63e-cf20614ab4ac
20/20 Optometry of Silicon Valley,"2555 North 1st Street, San Jose, CA 95131",San Jose,CA,95131,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+14085604870,https://2020eyesonline.com,,1e5f829f-a84e-451d-b5f9-972b1cff6b77
20/20 Vision Center,"116 Regency Boulevard, Greenville, NC 27834",Greenville,NC,27834,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+12526594784,www.2020visionnc.com,"Samantha Myers OD, FAAO",833c08c2-29ea-43c0-88be-905fe2c78412
4Sight iCare,"11914 Route 59, Unit 106, Plainfield, IL 60585",Plainfield,IL,60585,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+18154568927,https://www.4sighticare.com,Mark Burke,750ee539-3b83-4800-be9b-d6f688f9e935
Abundo Eye Care,"579 East Fort Union Boulevard, Midvale, UT 84047",Midvale,UT,84047,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+18019198652,https://www.abundoeyecare.net/,Roland Abundo,ffc57ce8-d502-4cef-921a-2b49811ecd8a
Accent Vision,"1645 Galisteo Street, Santa Fe, NM 87505",Santa Fe,NM,87505,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+15055783171,https://www.accentvisionsantafe.com,Dwight Thibodeaux; Jaqueline Isquierdo,5a590f43-553d-45a6-906c-8225f445e84c
AccessorEyes Optometry,"155 Cordova Street, Pasadena, CA 91101",Pasadena,CA,91101,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+16267064224,www.accessoreyesoptometry.com,,b794ea65-9ee0-4d28-a16e-787f3f181ea1
Achord Eye Clinic,"8280 Ymca Plaza Drive, Baton Rouge, LA 70810",Baton Rouge,LA,70810,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+12256382434,visionsource-br.com,Shonda Achord,f3f1d839-70b4-4acf-9e86-0c1bbafb9de4
Advanced Vision Care,"2710 East Airline Road, Victoria, TX 77901",Victoria,TX,77901,No,Yes,Yes,2026-07-29T13:54:58+00:00,2026-08-16T12:25:42+00:00,+13615242353,https://avcvictoria.com/our-practice/,Valorie Baker OD,8656e976-a277-4c55-92cf-9b43c61637eb
Alabama Ophthalmology Associates - Grandview,"3686 Grandview Parkway / Suite 100, Birmingham, AL 35243",Birmingham,AL,35243,Yes,No,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+12055437639,https://aoapc.com,Walter Parker; Kristen Bains,de3b3877-6cf6-4afd-946f-c9f43266360b
Alabama Ophthalmology Associates - Main Location,"1000 19th Street South, Birmingham, AL 35205",Birmingham,AL,35205,Yes,No,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+12058786754,https://www.aoapc.com/,Kristin Bains MD; Walter Parker,9d5cc9ec-bb85-40f7-8bd1-3e1234d4342e
Alamo Eye Care,"North Loop 1604 East Access Road, San Antonio, TX 78247",San Antonio,TX,78247,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+12109342741,www.alamoeyecare.com,Melanie Frogozo OD; Anthony Mac,9b125580-486b-40df-aaad-477ba46733f6
Aloha Laser Vision,"1100 Ward Ave / Suite 1000, Honolulu, HI 96814",Honolulu,HI,96814,Yes,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+18085156835,,,388d47ad-5043-4008-bb89-20bc07f890a7
Alpine Optometry,"3130 Alpine Road #220, Portola Valley, CA 94028",Portola Valley,CA,94028,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+16506752412,www.alpineoptometry.com,,7d2a7461-2627-47db-aa1d-1c5be84b056d
Anderson & Chhabra Eyecare Center- Tampa,"719 West Fletcher Avenue, Tampa, FL 33612",Tampa,FL,33612,No,Yes,Yes,2026-07-22T01:05:31+00:00,2026-08-16T12:25:42+00:00,+18132804075,https://andersoneyecarecenter.com/,"Aundrea Pelakatiyage; Neeta Chhabra OD, MS, FAAO, FSLS; Richard Weisenberger; Julia Malone",34b00054-59d4-4339-96d7-bc526ee61596
Anderson & Chhabra EyeCare Center- Wesley Chapel,"3822 Turman Loop, Wesley Chapel, FL 33544",Wesley Chapel,FL,33544,No,Yes,Yes,2026-07-22T01:05:31+00:00,2026-08-16T12:25:42+00:00,+18137617753,https://andersoneyecarecenter.com/,"Neeta Chhabra OD, MS, FAAO, FSLS; Richard Weisenberger; Julia Malone; Aundrea Pelakatiyage",e2c336aa-dc9d-4a93-b5b7-2656ec3c3dae
Anh Nguyen Ophthalmology,"6402 Arlington Blvd / Suite 600, Falls Church, VA 22042",Falls Church,VA,22042,Yes,Yes,Yes,2026-08-14T12:51:38+00:00,2026-08-16T12:25:42+00:00,+17032238300,http://virginia-lasik.com/,,0aa96b67-1a7b-4d6d-a319-3947d55f7327
Anita Lam,"1101 Madison / Suite 600, Seattle, WA 98104",Seattle,WA,98104,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+12068007451,,,2232e58c-9c9d-437f-b48e-54bf8848dcdf
Aprima Eye Consultants,"5003 Crossings Circle
#100A, Mt. Juliet, TN 37122",Mt. Juliet,TN,37122,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+16156976815,https://aprimaeye.com/,Brad Altman,c942642e-0a60-4ea2-a5f1-c19ec3252a5b
Artisan Eye,"6600 University Parkway, Sarasota, FL 34240",Sarasota,FL,34240,No,Yes,Yes,2026-07-18T21:18:20+00:00,2026-08-16T12:25:42+00:00,+19412745293,https://www.artisaneyelwr.com/,Cory Collier,5798d31a-112f-4b4a-b737-52eb8ec2172b
Ascent Eye Care,"7162 County Road 162, Nathrop, CO 81236",Nathrop,CO,81236,No,Yes,Yes,2026-07-14T02:12:15.966Z,2026-08-16T12:25:42+00:00,+17195216072,https://www.ascenteyecareco.com/,Nick Chariton; Stefanie Melzer,55a54224-f877-4d1c-b3eb-fac92edf83db
