Clinic,Address,City,State,Zip,First seen by monitor,Currently live in latest run,Epioxa facility ID
Anderson & Chhabra Eyecare Center- Tampa,"719 West Fletcher Avenue, Tampa, FL 33612",Tampa,FL,33612,2026-07-22T01:05:31+00:00,Yes,34b00054-59d4-4339-96d7-bc526ee61596
Anderson & Chhabra EyeCare Center- Wesley Chapel,"3822 Turman Loop, Wesley Chapel, FL 33544",Wesley Chapel,FL,33544,2026-07-22T01:05:31+00:00,Yes,e2c336aa-dc9d-4a93-b5b7-2656ec3c3dae
Black Hills Regional Eye Institute,"2800 Third St, Rapid City, SD 57701",Rapid City,SD,57701,2026-07-24T13:24:06+00:00,Yes,d937b227-2994-445c-aaf2-c188c5f0314f
Boston Vision,"25 Marston Street
Marston Medical Building Suite 104, Lawrence, MA 01841",Lawrence,MA,01841,2026-07-22T01:05:31+00:00,No,7e1a4622-6fec-4c38-9740-1a7949dbb98f
Bright Eyes Optical New Rochelle,"177 B East Main Street, New Rochelle, NY 10801",New Rochelle,NY,10801,2026-07-23T00:58:32+00:00,No,14c3edce-0d06-491d-95aa-b754c7596325
Compton & Compton Eye Care,"1111 Nashville Road, Franklin, KY 42134",Franklin,KY,42134,2026-07-22T01:05:31+00:00,Yes,b767ecd4-1514-41cb-add4-82ffaa4cd7ae
Eye Rx Chevy Chase,"4600 North Park Avenue, Chevy Chase, MD 20815",Chevy Chase,MD,20815,2026-07-22T01:05:31+00:00,Yes,bf0e7b11-ff24-4691-8312-159051386ff3
Family Vision Center,"3175 South State Road 7, Wellington, FL 33449",Wellington,FL,33449,2026-07-25T13:10:49+00:00,Yes,6b732cfa-b72c-4226-85d9-8efaf125dd18
Geisinger Healthplex Centerpoint,"1201 Oak Street, Pittston, PA 18640",Pittston,PA,18640,2026-07-24T13:24:06+00:00,Yes,e5733aa8-3791-48cb-8cfb-a1df5acdc679
Horvath Vision Care Northwoods,"180 Northwoods Boulevard, Columbus, OH 43235",Columbus,OH,43235,2026-07-23T00:58:32+00:00,No,d8cf34c2-8ce1-4779-a532-c211d5d4d3c6
Modern Eyes Optometry - Lenscrafters at Pearlridge,"98-1005 Moanalua Road, Aiea, HI 96701",Aiea,HI,96701,2026-07-22T01:05:31+00:00,Yes,d97fe7b8-db20-409f-b3b6-4a06d2949b9b
Mount Airy Medical Eye Center,"1401 Ridge Court, Mount Airy, MD 21771",Mount Airy,MD,21771,2026-07-22T01:05:31+00:00,Yes,c6c40821-4a07-4499-af23-63a523db30b1
Normandy Optical - Rochester,"137 South Livernois Road, Rochester Hills, MI 483071837",Rochester Hills,MI,483071837,2026-07-23T00:58:32+00:00,No,659e088d-0fb5-4075-8576-cce22a27f0c3
OCLI Vision New Haven County: East Haven,"317 Foxon Road, East Haven, CT 06513",East Haven,CT,06513,2026-07-22T01:05:31+00:00,Yes,ae0aa020-1354-4f43-aeaf-549651134c73
Select Eye Care,"8601 LaSalle Rd / Ste 108, Towson, MD 21286",Towson,MD,21286,2026-07-24T13:24:06+00:00,Yes,3686762a-f278-42e7-b596-1d2f0906c8f3
SSM Health,"2850 O’Keefe Avenue,, Sun Prairie, WI 53590",Sun Prairie,WI,53590,2026-07-24T13:24:06+00:00,Yes,9177dee6-c7f6-4011-a171-296aa4566298
Tower Clock Eye Center,"1087 West Mason St., Green Bay, WI 54303",Green Bay,WI,54303,2026-07-24T13:24:06+00:00,Yes,9e778072-94e3-44b4-9964-e6de13cc4dc9
Tulman Eye Group,"880 Crestmark Drive, Lithia Springs, GA 30122",Lithia Springs,GA,30122,2026-07-22T01:05:31+00:00,Yes,cc318f2b-70f0-43ea-a8cc-52acb6d55583
University of Minnesota Health - Eye Care,"516 Delaware Street SE / 9th Floor, Minneapolis, MN 55455",Minneapolis,MN,55455,2026-07-24T13:24:06+00:00,Yes,3dc55d70-cf2e-49a5-8e66-1e6709388b55
UW Health Eye Care,"1 South Park, Madison, WI 53715",Madison,WI,53715,2026-07-24T13:24:06+00:00,Yes,3ae4a09c-032b-4c0b-9304-f9243e3a25ce
